appid,appName,avgList_date,avgList_value,list_date,list_value,versionDate,version,date
1479814602,央视频-看奥运全赛程直播,1716480000000,27023,1716480000000,9923,,,
1479814602,央视频-看奥运全赛程直播,1716393600000,27023,1716393600000,10818,,,
1479814602,央视频-看奥运全赛程直播,1716307200000,27023,1716307200000,11223,,,
1479814602,央视频-看奥运全赛程直播,1716220800000,27023,1716220800000,13019,,,
1479814602,央视频-看奥运全赛程直播,1716134400000,27023,1716134400000,14133,,,
1479814602,央视频-看奥运全赛程直播,1716048000000,27023,1716048000000,18483,,,
1479814602,央视频-看奥运全赛程直播,1715961600000,27023,1715961600000,24989,,,
1479814602,央视频-看奥运全赛程直播,1715875200000,27023,1715875200000,19835,,,
1479814602,央视频-看奥运全赛程直播,1715788800000,27023,1715788800000,13168,,,
1479814602,央视频-看奥运全赛程直播,1715702400000,27023,1715702400000,9426,,,
1479814602,央视频-看奥运全赛程直播,1715616000000,27023,1715616000000,9478,,,
1479814602,央视频-看奥运全赛程直播,1715529600000,27023,1715529600000,11500,,,
1479814602,央视频-看奥运全赛程直播,1715443200000,27023,1715443200000,13378,,,
1479814602,央视频-看奥运全赛程直播,1715356800000,27023,1715356800000,8484,,,
1479814602,央视频-看奥运全赛程直播,1715270400000,27023,1715270400000,12397,,,
1479814602,央视频-看奥运全赛程直播,1715184000000,27023,1715184000000,14447,,,
1479814602,央视频-看奥运全赛程直播,1715097600000,27023,1715097600000,13118,,,
1479814602,央视频-看奥运全赛程直播,1715011200000,27023,1715011200000,13359,,,
1479814602,央视频-看奥运全赛程直播,1714924800000,27023,1714924800000,14060,,,
1479814602,央视频-看奥运全赛程直播,1714838400000,27023,1714838400000,14396,,,
1479814602,央视频-看奥运全赛程直播,1714752000000,27023,1714752000000,12746,,,
1479814602,央视频-看奥运全赛程直播,1714665600000,27023,1714665600000,12898,,,
1479814602,央视频-看奥运全赛程直播,1714579200000,27023,1714579200000,11292,,,
1479814602,央视频-看奥运全赛程直播,1714492800000,27023,1714492800000,14718,,,
1479814602,央视频-看奥运全赛程直播,1714406400000,27023,1714406400000,11704,,,
1479814602,央视频-看奥运全赛程直播,1714320000000,27023,1714320000000,12972,,,
